id,type,source,target,publication_id,keyword_id,keyword_name,score
has_keyword:publication:W2081228936->keyword:public-relations,has_keyword,publication:W2081228936,keyword:public-relations,W2081228936,public-relations,Public relations,0.410265177488327
has_keyword:publication:W2081228936->keyword:sociology,has_keyword,publication:W2081228936,keyword:sociology,W2081228936,sociology,Sociology,0.3862811028957367
has_keyword:publication:W2081228936->keyword:psychology,has_keyword,publication:W2081228936,keyword:psychology,W2081228936,psychology,Psychology,0.37104737758636475
has_keyword:publication:W2081228936->keyword:political-science,has_keyword,publication:W2081228936,keyword:political-science,W2081228936,political-science,Political science,0.3683249354362488
has_keyword:publication:W2081228936->keyword:management,has_keyword,publication:W2081228936,keyword:management,W2081228936,management,Management,0.3453659117221832
has_keyword:publication:W2081228936->keyword:business,has_keyword,publication:W2081228936,keyword:business,W2081228936,business,Business,0.32710909843444824
has_keyword:publication:W2081228936->keyword:social-psychology,has_keyword,publication:W2081228936,keyword:social-psychology,W2081228936,social-psychology,Social psychology,0.3201479911804199
has_keyword:publication:W2081228936->keyword:social-science,has_keyword,publication:W2081228936,keyword:social-science,W2081228936,social-science,Social science,0.2201775312423706
has_keyword:publication:W2081228936->keyword:economics,has_keyword,publication:W2081228936,keyword:economics,W2081228936,economics,Economics,0.19454169273376465
has_keyword:publication:W201578715->keyword:sensemaking,has_keyword,publication:W201578715,keyword:sensemaking,W201578715,sensemaking,Sensemaking,0.9362108111381531
has_keyword:publication:W201578715->keyword:sociology,has_keyword,publication:W201578715,keyword:sociology,W201578715,sociology,Sociology,0.42476218938827515
has_keyword:publication:W201578715->keyword:organizational-behavior,has_keyword,publication:W201578715,keyword:organizational-behavior,W201578715,organizational-behavior,Organizational behavior,0.4113690257072449
has_keyword:publication:W201578715->keyword:process-management,has_keyword,publication:W201578715,keyword:process-management,W201578715,process-management,Process management,0.3751818537712097
has_keyword:publication:W201578715->keyword:management,has_keyword,publication:W201578715,keyword:management,W201578715,management,Management,0.36946770548820496
has_keyword:publication:W201578715->keyword:business,has_keyword,publication:W201578715,keyword:business,W201578715,business,Business,0.3515043258666992
has_keyword:publication:W201578715->keyword:public-relations,has_keyword,publication:W201578715,keyword:public-relations,W201578715,public-relations,Public relations,0.33662405610084534
has_keyword:publication:W201578715->keyword:knowledge-management,has_keyword,publication:W201578715,keyword:knowledge-management,W201578715,knowledge-management,Knowledge management,0.334760844707489
has_keyword:publication:W201578715->keyword:engineering-ethics,has_keyword,publication:W201578715,keyword:engineering-ethics,W201578715,engineering-ethics,Engineering ethics,0.32189327478408813
has_keyword:publication:W201578715->keyword:political-science,has_keyword,publication:W201578715,keyword:political-science,W201578715,political-science,Political science,0.2667267918586731
has_keyword:publication:W201578715->keyword:engineering,has_keyword,publication:W201578715,keyword:engineering,W201578715,engineering,Engineering,0.2091221809387207
has_keyword:publication:W201578715->keyword:computer-science,has_keyword,publication:W201578715,keyword:computer-science,W201578715,computer-science,Computer science,0.18412324786186218
has_keyword:publication:W201578715->keyword:economics,has_keyword,publication:W201578715,keyword:economics,W201578715,economics,Economics,0.11808937788009644
has_keyword:publication:W2141951329->keyword:organizational-behavior,has_keyword,publication:W2141951329,keyword:organizational-behavior,W2141951329,organizational-behavior,Organizational behavior,0.4660932123661041
has_keyword:publication:W2141951329->keyword:sociology,has_keyword,publication:W2141951329,keyword:sociology,W2141951329,sociology,Sociology,0.44821470975875854
has_keyword:publication:W2141951329->keyword:management,has_keyword,publication:W2141951329,keyword:management,W2141951329,management,Management,0.3690701127052307
has_keyword:publication:W2141951329->keyword:economics,has_keyword,publication:W2141951329,keyword:economics,W2141951329,economics,Economics,0.24469035863876343
has_keyword:publication:W3123397884->keyword:organizational-behavior,has_keyword,publication:W3123397884,keyword:organizational-behavior,W3123397884,organizational-behavior,Organizational behavior,0.44941645860671997
has_keyword:publication:W3123397884->keyword:sociology,has_keyword,publication:W3123397884,keyword:sociology,W3123397884,sociology,Sociology,0.4463486075401306
has_keyword:publication:W3123397884->keyword:management,has_keyword,publication:W3123397884,keyword:management,W3123397884,management,Management,0.349536657333374
has_keyword:publication:W3123397884->keyword:economics,has_keyword,publication:W3123397884,keyword:economics,W3123397884,economics,Economics,0.2251240313053131
has_keyword:publication:W2133990480->keyword:computer-science,has_keyword,publication:W2133990480,keyword:computer-science,W2133990480,computer-science,Computer science,0.773963451385498
has_keyword:publication:W2133990480->keyword:workbench,has_keyword,publication:W2133990480,keyword:workbench,W2133990480,workbench,Workbench,0.7535520195960999
has_keyword:publication:W2133990480->keyword:data-science,has_keyword,publication:W2133990480,keyword:data-science,W2133990480,data-science,Data science,0.5109173655509949
has_keyword:publication:W2133990480->keyword:software,has_keyword,publication:W2133990480,keyword:software,W2133990480,software,Software,0.5087793469429016
has_keyword:publication:W2133990480->keyword:data-mining,has_keyword,publication:W2133990480,keyword:data-mining,W2133990480,data-mining,Data mining,0.4788517951965332
has_keyword:publication:W2133990480->keyword:open-source-software,has_keyword,publication:W2133990480,keyword:open-source-software,W2133990480,open-source-software,Open source software,0.4678913652896881
has_keyword:publication:W2133990480->keyword:world-wide-web,has_keyword,publication:W2133990480,keyword:world-wide-web,W2133990480,world-wide-web,World Wide Web,0.4012964069843292
has_keyword:publication:W2133990480->keyword:software-engineering,has_keyword,publication:W2133990480,keyword:software-engineering,W2133990480,software-engineering,Software engineering,0.3339848220348358
has_keyword:publication:W2133990480->keyword:operating-system,has_keyword,publication:W2133990480,keyword:operating-system,W2133990480,operating-system,Operating system,0.1360885202884674
has_keyword:publication:W2764347725->keyword:quantum-computer,has_keyword,publication:W2764347725,keyword:quantum-computer,W2764347725,quantum-computer,Quantum computer,0.627932071685791
has_keyword:publication:W2764347725->keyword:computer-science,has_keyword,publication:W2764347725,keyword:computer-science,W2764347725,computer-science,Computer science,0.5772696137428284
has_keyword:publication:W2764347725->keyword:quantum,has_keyword,publication:W2764347725,keyword:quantum,W2764347725,quantum,Quantum,0.532921552658081
has_keyword:publication:W2764347725->keyword:quantum-information,has_keyword,publication:W2764347725,keyword:quantum-information,W2764347725,quantum-information,Quantum information,0.4741458594799042
has_keyword:publication:W2764347725->keyword:computation,has_keyword,publication:W2764347725,keyword:computation,W2764347725,computation,Computation,0.4532011151313782
has_keyword:publication:W2764347725->keyword:theoretical-computer-science,has_keyword,publication:W2764347725,keyword:theoretical-computer-science,W2764347725,theoretical-computer-science,Theoretical computer science,0.3802448511123657
has_keyword:publication:W2764347725->keyword:programming-language,has_keyword,publication:W2764347725,keyword:programming-language,W2764347725,programming-language,Programming language,0.27893513441085815
has_keyword:publication:W2764347725->keyword:physics,has_keyword,publication:W2764347725,keyword:physics,W2764347725,physics,Physics,0.1967219114303589
has_keyword:publication:W2764347725->keyword:quantum-mechanics,has_keyword,publication:W2764347725,keyword:quantum-mechanics,W2764347725,quantum-mechanics,Quantum mechanics,0.13351210951805115
has_keyword:publication:W2153635508->keyword:computer-science,has_keyword,publication:W2153635508,keyword:computer-science,W2153635508,computer-science,Computer science,0.9018539190292358
has_keyword:publication:W2153635508->keyword:support-vector-machine,has_keyword,publication:W2153635508,keyword:support-vector-machine,W2153635508,support-vector-machine,Support vector machine,0.7129232287406921
has_keyword:publication:W2153635508->keyword:popularity,has_keyword,publication:W2153635508,keyword:popularity,W2153635508,popularity,Popularity,0.6622347831726074
has_keyword:publication:W2153635508->keyword:machine-learning,has_keyword,publication:W2153635508,keyword:machine-learning,W2153635508,machine-learning,Machine learning,0.5552013516426086
