id,type,source,target,publication_id,person_id,author_position,is_corresponding,sort_order
authored_by:publication:W2964015378->person:W2964015378-person-3,authored_by,publication:W2964015378,person:W2964015378-person-3,W2964015378,W2964015378-person-3,middle,0,3
authored_by:publication:W2964015378->person:W2964015378-person-4,authored_by,publication:W2964015378,person:W2964015378-person-4,W2964015378,W2964015378-person-4,middle,0,4
authored_by:publication:W2964015378->person:W2964015378-person-5,authored_by,publication:W2964015378,person:W2964015378-person-5,W2964015378,W2964015378-person-5,middle,0,5
authored_by:publication:W2964015378->person:W2964015378-person-6,authored_by,publication:W2964015378,person:W2964015378-person-6,W2964015378,W2964015378-person-6,middle,0,6
authored_by:publication:W2964015378->person:W2964015378-person-7,authored_by,publication:W2964015378,person:W2964015378-person-7,W2964015378,W2964015378-person-7,middle,0,7
authored_by:publication:W2964015378->person:W2964015378-person-8,authored_by,publication:W2964015378,person:W2964015378-person-8,W2964015378,W2964015378-person-8,middle,0,8
authored_by:publication:W2964015378->person:W2964015378-person-9,authored_by,publication:W2964015378,person:W2964015378-person-9,W2964015378,W2964015378-person-9,last,0,9
authored_by:publication:W2139212933->person:A5034285513,authored_by,publication:W2139212933,person:A5034285513,W2139212933,A5034285513,first,1,0
authored_by:publication:W2127218421->person:A5003452701,authored_by,publication:W2127218421,person:A5003452701,W2127218421,A5003452701,first,1,0
authored_by:publication:W2148080316->person:A5076671393,authored_by,publication:W2148080316,person:A5076671393,W2148080316,A5076671393,first,1,0
authored_by:publication:W2148080316->person:A5103688270,authored_by,publication:W2148080316,person:A5103688270,W2148080316,A5103688270,middle,0,1
authored_by:publication:W2148080316->person:A5062503784,authored_by,publication:W2148080316,person:A5062503784,W2148080316,A5062503784,last,0,2
authored_by:publication:W2160234571->person:A5011127007,authored_by,publication:W2160234571,person:A5011127007,W2160234571,A5011127007,first,1,0
authored_by:publication:W2160234571->person:A5109876993,authored_by,publication:W2160234571,person:A5109876993,W2160234571,A5109876993,middle,0,1
authored_by:publication:W2160234571->person:A5109988286,authored_by,publication:W2160234571,person:A5109988286,W2160234571,A5109988286,middle,0,2
authored_by:publication:W2160234571->person:A5048895008,authored_by,publication:W2160234571,person:A5048895008,W2160234571,A5048895008,middle,0,3
authored_by:publication:W2160234571->person:A5072282052,authored_by,publication:W2160234571,person:A5072282052,W2160234571,A5072282052,middle,0,4
authored_by:publication:W2160234571->person:A5109731978,authored_by,publication:W2160234571,person:A5109731978,W2160234571,A5109731978,last,0,5
authored_by:publication:W4385245566->person:W4385245566-person-0,authored_by,publication:W4385245566,person:W4385245566-person-0,W4385245566,W4385245566-person-0,first,1,0
authored_by:publication:W4385245566->person:W4385245566-person-1,authored_by,publication:W4385245566,person:W4385245566-person-1,W4385245566,W4385245566-person-1,middle,0,1
